@RELATION tcc

@ATTRIBUTE Hydro REAL
@ATTRIBUTE Avg REAL
@ATTRIBUTE Ctermhydro REAL
@ATTRIBUTE Ctermcharge NUMERIC
@ATTRIBUTE CtermHRK NUMERIC
@ATTRIBUTE mtp NUMERIC
@ATTRIBUTE sln REAL
@ATTRIBUTE coiledmedia NUMERIC
@ATTRIBUTE class {yes,,no}


@DATA
-78.30,-0.18,-14.20,-2,1,141,0.58,35,no
-89.20,-0.10,-26.50,-6,3,65,0.04,682,no
-15.60,-0.07,-18.20,2,5,97,0.06,58,no
18.60,0.06,-2.90,-1,2,54,0.04,14,no
26.60,0.09,-22.40,0,4,313,0.07,301,no
-294.70,-0.36,-8.60,0,4,198,0.04,191,no
41.60,0.09,-2.00,0,4,27,0.86,36,no
-94.80,-0.22,-30.30,9,11,77,0.12,57,no
19.40,0.05,-4.50,2,4,57,0.21,278,no
-48.80,-0.11,-12.00,6,6,694,0.19,124,no
-23.10,-0.04,1.30,-4,1,300,0.14,133,no
-159.10,-0.18,-3.50,-3,2,56,0.09,78,no
10.20,0.03,-10.60,3,7,95,0.04,0,no
128.80,0.76,-5.80,0,4,7,0.40,376,no
-15.00,-0.05,-36.30,4,8,75,0.01,0,no
96.30,0.31,25.80,-1,1,737,0.22,3,no
46.00,0.15,16.50,0,2,84,0.04,16,no
-12.20,-0.03,-23.50,-1,2,193,0.02,41,no
-14.40,-0.08,-5.70,0,3,291,0.06,38,no
-38.30,-0.24,13.60,1,3,53,0.02,19,no
-0.30,-0.00,0.50,-1,2,291,0.51,599,no
-68.90,-0.10,-5.90,0,5,119,0.06,5,no
-12.10,-0.04,4.90,2,4,181,0.03,3,no
-46.50,-0.16,-10.50,1,3,92,0.07,110,no
99.50,0.31,17.50,1,3,99,0.04,44,no
62.60,0.13,5.80,3,5,82,0.39,418,no
-130.20,-0.29,-16.80,-2,4,53,0.04,576,no
